index_dec,index_hex,group,char,source
762,02FA,unconfirmed,が,ocr
763,02FB,unconfirmed,Z,ocr
764,02FC,unconfirmed,4,ocr
765,02FD,unconfirmed,L,ocr
766,02FE,unconfirmed,I,ocr
767,02FF,unconfirmed,な,ocr
768,0300,unconfirmed,O,ocr
769,0301,unconfirmed,i,ocr
770,0302,unconfirmed,I,ocr
771,0303,unconfirmed,K,ocr
772,0304,unconfirmed,B,ocr
773,0305,unconfirmed,=,ocr
774,0306,unconfirmed,=,ocr
775,0307,confirmed,助,token_map
776,0308,confirmed,役,token_map
777,0309,confirmed,杖,token_map
778,030A,unconfirmed,省,ocr
779,030B,unconfirmed,B,ocr
780,030C,unconfirmed,=,ocr
781,030D,unconfirmed,O,ocr
782,030E,unconfirmed,I,ocr
783,030F,unconfirmed,日,ocr
784,0310,unconfirmed,B,ocr
785,0311,unconfirmed,B,ocr
786,0312,unconfirmed,f,ocr
787,0313,unconfirmed,o,ocr
788,0314,confirmed,秘,token_map
789,0315,unconfirmed,5,ocr
790,0316,unconfirmed,ー,ocr
791,0317,unconfirmed,C,ocr
792,0318,unconfirmed,5,ocr
793,0319,unconfirmed,a,ocr
794,031A,unconfirmed,E,ocr
795,031B,unconfirmed,n,ocr
796,031C,confirmed,連,token_map
797,031D,unconfirmed,2,ocr
798,031E,unconfirmed,A,ocr
799,031F,unconfirmed,月,ocr
800,0320,unconfirmed,ド,ocr
801,0321,unconfirmed,5,ocr
802,0322,unconfirmed,レ,ocr
803,0323,unconfirmed,5,ocr
804,0324,unconfirmed,吾,ocr
805,0325,confirmed,万,token_map
806,0326,confirmed,月,token_map
807,0327,unconfirmed,x,ocr
808,0328,unconfirmed,天,ocr
809,0329,unconfirmed,T,ocr
810,032A,confirmed,反,token_map
811,032B,unconfirmed,i,ocr
812,032C,unconfirmed,E,ocr
813,032D,unconfirmed,i,ocr
814,032E,confirmed,損,token_map
815,032F,unconfirmed,B,ocr
816,0330,unconfirmed,T,ocr
817,0331,confirmed,（,token_map
818,0332,unconfirmed,に,ocr
819,0333,confirmed,）,token_map
820,0334,unconfirmed,J,ocr
821,0335,unconfirmed,=,ocr
822,0336,unconfirmed,1,ocr
823,0337,unconfirmed,=,ocr
824,0338,unconfirmed,A,ocr
825,0339,unconfirmed,I,ocr
826,033A,confirmed,席,token_map
827,033B,unconfirmed,B,ocr
828,033C,unconfirmed,子,ocr
829,033D,unconfirmed,o,ocr
830,033E,confirmed,信,token_map
831,033F,unconfirmed,投,ocr
832,0340,unconfirmed,f,ocr
833,0341,confirmed,折,token_map
834,0342,unconfirmed,1,ocr
835,0343,unconfirmed,O,ocr
836,0344,confirmed,編,token_map
837,0345,unconfirmed,:,ocr
838,0346,unconfirmed,中,ocr
839,0347,unconfirmed,(,ocr
840,0348,confirmed,材,token_map
841,0349,unconfirmed,材,ocr
842,034A,unconfirmed,Y,ocr
843,034B,unconfirmed,ヽ,ocr
844,034C,unconfirmed,回,ocr
845,034D,unconfirmed,1,ocr
846,034E,unconfirmed,D,ocr
847,034F,confirmed,友,token_map
848,0350,unconfirmed,A,ocr
849,0351,unconfirmed,{,ocr
850,0352,unconfirmed,A,ocr
851,0353,confirmed,％,token_map
